a,b,c
30.00,10.22,10.5
60.00,10.34,10.5
90.00,10.56,10.5
120.00,11.04,10.5
150.00,11.02,10.5
180.00,10.87,10.5
210.00,11.05,10.5
240.00,11.04,10.5
270.00,10.44,10.5
300.00,11.23,10.5
330.00,10.85,10.5
360.00,10.21,10.5
390.00,10.4,10.5
420.00,10.61,10.5
450.00,11.87,11.1
480.00,11.72,11.7
510.00,11.15,12.3
540.00,11.84,12.9
570.00,12.78,13.5
600.00,13.09,14.1
630.00,14.53,14.7
660.00,15.44,15.3
690.00,15.94,15.9
720.00,17.22,16.5
750.00,16.87,16.5
780.00,14.59,16.5
810.00,17.13,16.5
840.00,17.02,16.5
870.00,16.65,16.5
900.00,17.81,16.5
930.00,17.38,16.5
960.00,17.75,16.5
990.00,14.69,14.75
1020.00,13.47,13
1050.00,13.53,13
1080.00,13.28,13
1110.00,13.45,13
1140.00,13.55,13
1170.00,13,13
1200.00,12.78,13
1230.00,12.96,13
1260.00,13.37,13
1290.00,12.71,13
1320.00,12.82,13
1350.00,12.74,13
1380.00,13.42,13
1410.00,13.43,13
1440.00,12.96,13